SKU,Author,Name,Type,Price,Category,"Sub Category","Short Discription","Long Discription","Dead Line",Image,Tags,"Package Products",Slug,"Product Status","Product Language"
ID000040,testingsecretary1sl@hotmail.com,"Preparing Fund Raising Documents",variable,2000000,Entrepreneur,Service,"Small description","Long description","11 working days from acceptance",,"Sales and Marketing",,preparing-fund-raising-documents,publish,Sinhala@English
ID000039,testingconsultant1sl@hotmail.com,"Service by Secretary",variable,15000,Secretary,Service,"Small description","Long description","14 days",,Shipping,,service-by-secretary,publish,Sinhala@English
ID000038,testingentrepreneur1sl@hotmail.com,"Change Management Programme",variable,5000,Consultant,Service,"Small description","Long description","10 working days from acceptance",,"Import Export",,change-management-programme,publish,Sinhala@English
ID000037,testingmediator1sl@hotmail.com,"Trademark Registration",variable,0,Lawyer,Service,"Small description","Long description","14 days",,Trademarks,,trademark-registration,publish,Sinhala@English
ID000036,testingother1sl@hotmail.com,"Contract Drafting",variable,5000,Lawyer,Service,"Small description","Long description","3 working days",,"Deeds@Newtesttag@Covid related@FINAL NEW TAG",,contract-drafting,publish,Tamil@English@Sinhala
ID000035,brandtestingSP1.SL@gmail.com,"Package 4",variable,9000,"Covid19 Relief",Package,"<p>Short discriptionI\'ve invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p>","<h2>Long discription</h2><p>&nbsp;I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in yo</p><figure class=table><table><tbody><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr></tbody></table></figure><p>ur start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p><h3>ggggggggggg</h3><p>I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p><p>I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p>","14 days",,Employment@Deeds@Contracts,ID000009@ID000010@ID000011,package-4,publish,Tamil@English
ID000034,brandtestingSP2.SL@gmail.com,"Package 3",variable,11000,"Change Management",Package,"<p>Short discriptionI\'ve invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p>","<h2>Long discription</h2><p>&nbsp;I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in yo</p><figure class=table><table><tbody><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr></tbody></table></figure><p>ur start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p><h3>ggggggggggg</h3><p>I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p><p>I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p>","2 days",,"Change management@Personal Development@Due Diligence",ID000007@,package-3,publish,Sinhala@English
ID000033,brandtestingSP3.SL@gmail.com,"Package 2",variable,20000,Package,,"<p>Short discriptionI\'ve invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p>","<h2>Long discription</h2><p>&nbsp;I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in yo</p><figure class=table><table><tbody><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr></tbody></table></figure><p>ur start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p><h3>ggggggggggg</h3><p>I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p><p>I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p>","1 week",,Incorporation@Trademarks@Marketing,ID000002@ID000003@ID000026,package-2,publish,Tamil
ID000032,brandtestingSP4.SL@gmail.com,"Package 1",variable,7000,Employment,Package,"<p>Short discriptionI\'ve invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p>","<h2>Long discription</h2><p>&nbsp;I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in yo</p><figure class=table><table><tbody><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr></tbody></table></figure><p>ur start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p><h3>ggggggggggg</h3><p>I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p><p>I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p>","3 working days",,"Contracts@Appraisals@EPF ETF",@ID000001@,package-1,publish,English
ID000031,brandtestingSP1.SL@gmail.com,"Webianr for Lawyers - Bona Fide",variable,2000,,,"<p>Short discriptionI\'ve invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p>","<h2>Long discription</h2><p>&nbsp;I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in yo</p><figure class=table><table><tbody><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr></tbody></table></figure><p>ur start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p><h3>ggggggggggg</h3><p>I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p><p>I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p>","10 working days from acceptance",,"For Lawyers",,webianr-for-lawyers-bona-fide,publish,Tamil@English
ID000030,brandtestingSP2.SL@gmail.com,"Webinar for Company Secretaries",variable,800000,,,"<p>Short discriptionI\'ve invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p>","<h2>Long discription</h2><p>&nbsp;I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in yo</p><figure class=table><table><tbody><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr></tbody></table></figure><p>ur start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p><h3>ggggggggggg</h3><p>I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p><p>I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p>","8 working days from acceptance",,"For Company Secretaries",,webinar-for-company-secretaries,publish,Sinhala@English
ID000029,brandtestingSP3.SL@gmail.com,"Webinar for Businesses",variable,1500,,,"<p>Short discriptionI\'ve invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p>","<h2>Long discription</h2><p>&nbsp;I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in yo</p><figure class=table><table><tbody><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr></tbody></table></figure><p>ur start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p><h3>ggggggggggg</h3><p>I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p><p>I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p>","9 working days from acceptance",,"For Businesses",,webinar-for-businesses,publish,Sinhala
ID000028,brandtestingSP4.SL@gmail.com,"Webinar for Consultants",variable,5000,,,"<p>Short discriptionI\\\'ve invented a method called Slicing Pie that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p>","<h2>Long discription</h2><p>&nbsp;I've invented a method called Slicing Pie that will allow you to determine exactly how much equity each founder and early employee deserves in yo</p><figure class=table><table><tbody><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr></tbody></table></figure><p>ur start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p><h3>ggggggggggg</h3><p>I've invented a method called Slicing Pie that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p><p>I've invented a method called Slicing Pie that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p>","10 working days from acceptance",,"For Consultants",,webinar-for-consultants,publish,Tamil
ID000027,brandtestingSP1.SL@gmail.com,"Santa Clause",variable,10000,Booking,Coaching,"<p>Short discriptionI\'ve invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p>","<h2>Long discription</h2><p>&nbsp;I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in yo</p><figure class=table><table><tbody><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr></tbody></table></figure><p>ur start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p><h3>ggggggggggg</h3><p>I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p><p>I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p>","2 days",,"Client Orientation",,santa-clause,publish,Tamil@English
ID000026,brandtestingSP2.SL@gmail.com,"Negotiating deals",variable,30000,Booking,Coaching,"<p>Short discriptionI\'ve invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p>","<h2>Long discription</h2><p>&nbsp;I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in yo</p><figure class=table><table><tbody><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr></tbody></table></figure><p>ur start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p><h3>ggggggggggg</h3><p>I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p><p>I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p>","14 days",,"Strategic Partnership",,negotiating-deals,publish,Sinhala@English
ID000025,brandtestingSP3.SL@gmail.com,"Hiring Employees",simple,200,Booking,Coaching,"Short discriptionI\'ve invented a method called Slicing Pie that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.","<h2>Long discription</h2>[break][break]I've invented a method called Slicing Pie that will allow you to determine exactly how much equity each founder and early employee deserves in yo[break][break]<figure class=""table"">[break][break]<table>[break][break]<tbody>[break][break]<tr>[break][break]<td></td>[break][break]<td></td>[break][break]<td></td>[break][break]<td></td>[break][break]<td></td>[break][break]</tr>[break][break]<tr>[break][break]<td></td>[break][break]<td></td>[break][break]<td></td>[break][break]<td></td>[break][break]<td></td>[break][break]</tr>[break][break]<tr>[break][break]<td></td>[break][break]<td></td>[break][break]<td></td>[break][break]<td></td>[break][break]<td></td>[break][break]</tr>[break][break]<tr>[break][break]<td></td>[break][break]<td></td>[break][break]<td></td>[break][break]<td></td>[break][break]<td></td>[break][break]</tr>[break][break]<tr>[break][break]<td></td>[break][break]<td></td>[break][break]<td></td>[break][break]<td></td>[break][break]<td></td>[break][break]</tr>[break][break]<tr>[break][break]<td></td>[break][break]<td></td>[break][break]<td></td>[break][break]<td></td>[break][break]<td></td>[break][break]</tr>[break][break]</tbody>[break][break]</table>[break][break]</figure>[break][break]ur start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.[break][break]<h3>ggggggggggg</h3>[break][break]I've invented a method called Slicing Pie that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.[break][break][break][break]I've invented a method called Slicing Pie that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.",20,,"Covid related",,hiring-employees,publish,
ID000024,brandtestingSP4.SL@gmail.com,"Managing difficult customers",variable,5000,Booking,Coaching,"<p>Short discriptionI\'ve invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p>","<h2>Long discription</h2><p>&nbsp;I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in yo</p><figure class=table><table><tbody><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr><tr><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td><td>&nbsp;</td></tr></tbody></table></figure><p>ur start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p><h3>ggggggggggg</h3><p>I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p><p>I've invented a method  called Slicing Pie  that will allow you to determine exactly how much equity each founder and early employee deserves in your start-up. Mistakes in equity allocation can be one of the most devastating mistakes founders can make.</p>","1 week",,Startup,,managing-difficult-customers,publish,Sinhala
